Policy,N_Targeted,Pct_Targeted,Total_Voucher_Cost,Predicted_Incremental_Profit,Synthetic_Causal_Benchmark_Profit,EV_Lower_95,EV_Upper_95,Est_ROI_pct,Expected_Incremental_Rides,Expected_GMV,Incremental_GMV,Burn,CPIR,Burn_per_GMV_pct,Burn_per_Inc_GMV_pct
0. No Voucher,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
1. Mass Voucher (All Users),4000,100.0,,-78376.0,-74521.0,-82074.0,-74679.0,-60.6,2828.0,862890.0,72939.0,129434.0,46.0,15.0,177.5
2. Segment Targeting (Suburban),1660,41.5,,-8153.0,-3287.0,-9510.0,-6796.0,-23.7,1233.0,229815.0,37599.0,34472.0,28.0,15.0,91.7
3. Uplift Targeting (Top 30% CATE),1200,30.0,,-7207.0,-15726.0,-8588.0,-5826.0,-21.0,1628.0,228814.0,38736.0,34322.0,21.0,15.0,88.6
4. Profit Targeting (EV > 0),873,21.8,,6369.0,6579.0,5974.0,6765.0,51.5,1003.0,82433.0,26763.0,12365.0,12.0,15.0,46.2
"5. Budget-Constrained ($50,000)",873,21.8,,6369.0,6579.0,5974.0,6765.0,51.5,1003.0,82433.0,26763.0,12365.0,12.0,15.0,46.2
6. Oracle Policy (Synthetic-only),959,24.0,,4094.0,9063.0,3506.0,4682.0,32.4,917.0,84361.0,23926.0,12654.0,14.0,15.0,52.9
